"Area","Item","Element","Unit","Year","Year_Value","Flag"
"United States of America","Horses","Stocks","Head","1986",5151000,"F"
"United States of America","Horses","Stocks","Head","1987",5048000,"F"
"United States of America","Horses","Stocks","Head","1988",5076000,"F"
"United States of America","Horses","Stocks","Head","1989",5067000,"F"
"United States of America","Horses","Stocks","Head","1990",5069000,"F"
"United States of America","Horses","Stocks","Head","1991",5100000,"F"
"United States of America","Horses","Stocks","Head","1992",5121000,"F"
"United States of America","Horses","Stocks","Head","1993",5130000,"F"
"United States of America","Horses","Stocks","Head","1994",5110000,"F"
"United States of America","Horses","Stocks","Head","1995",5130000,"F"
"United States of America","Horses","Stocks","Head","1996",5150000,"F"
"United States of America","Horses","Stocks","Head","1997",5170000,"*"
"United States of America","Horses","Stocks","Head","1998",5237000,"*"
"United States of America","Horses","Stocks","Head","1999",5170000,NA
"United States of America","Horses","Stocks","Head","2000",5240000,NA
"United States of America","Horses","Stocks","Head","2001",5500000,"F"
"United States of America","Horses","Stocks","Head","2002",6e+06,"F"
"United States of America","Horses","Stocks","Head","2003",7e+06,"F"
"United States of America","Horses","Stocks","Head","2004",8e+06,"F"
"United States of America","Horses","Stocks","Head","2005",9200000,NA
"United States of America","Horses","Stocks","Head","2006",9500000,"F"
"United States of America","Horses","Stocks","Head","2007",9500000,"F"
"United States of America","Horses","Stocks","Head","2008",9500000,"F"
"United States of America","Horses","Stocks","Head","2009",9800000,"F"
"United States of America","Horses","Stocks","Head","2010",1e+07,"F"
"United States of America","Horses","Stocks","Head","2011",10150000,"F"
"United States of America","Horses","Stocks","Head","2012",10250000,"F"
"United States of America","Horses","Stocks","Head","2013",10250000,"F"
"United States of America","Horses","Stocks","Head","2014",10260000,"F"
"United States of America","Horses","Stocks","Head","2015",10266497,"Im"
"United States of America","Horses","Stocks","Head","2016",10452605,"Im"
"United States of America","Horses","Stocks","Head","2017",10436349,"Im"
"United States of America","Horses","Stocks","Head","2018",10479246,"Im"
"United States of America","Mules","Stocks","Head","1961",20000,"F"
"United States of America","Mules","Stocks","Head","1962",20000,"F"
"United States of America","Mules","Stocks","Head","1963",20000,"F"
"United States of America","Mules","Stocks","Head","1964",22000,"F"
"United States of America","Mules","Stocks","Head","1965",22000,"F"
"United States of America","Mules","Stocks","Head","1966",22000,"F"
"United States of America","Mules","Stocks","Head","1967",24000,"F"
"United States of America","Mules","Stocks","Head","1968",24000,"F"
"United States of America","Mules","Stocks","Head","1969",24000,"F"
"United States of America","Mules","Stocks","Head","1970",24000,"F"
"United States of America","Mules","Stocks","Head","1971",24000,"F"
